품목보고번호,허가일자,LAST_UPDT_DTM,LCNS_NO,제품명,QLITY_MNTNC_TMLMT_DAYCNT,업소명,식품유형,CHILD_CRTFC_YN,INDUTY_CD_NM,DISPOS,포장재질,USAGE,ETQTY_XPORT_PRDLST_YN,유통기한,HIENG_LNTRT_DVS_NM,PRODUCTION,PRPOS
19910512116153 ,20171129,20171203,19910512116 ,쌍둥이네 즙사랑 도라지배즙,,(주)가보팜스,과.채주스,,식품제조가공업,액체식품,PE,그대로 음용,O,제조일로부터1년,해당없음,아니오,
19730443003831 ,20171110,20181218,19730443003 ,이디야허니자몽,제조일로부터 24개월,(주)삼광식품,음료베이스,,식품제조가공업,제품 고유의 액상으로 고유의 향미를 지니며 이미이취가 없어야 한다.,유리포장 (뚜껑-철),"음료, 제과, 제빵, 떡",O,제조일로부터 24개월,해당없음,아니오,
19890445014770 ,20171110,20171118,19890445014 ,태웅아로니아베리,,태웅식품(주),과.채주스,,식품제조가공업,"고유의 향미를 가지고 이미,이취 및 이물이 없어야 한다.","PE,PP",적당량을 음용하십시오,O,24개월,해당없음,아니오,
1993051805415 ,20171109,20171202,19930518054 ,유자즙,"730일(24개월,2년)",고흥식품,과.채주스,,식품제조가공업,"유자 과즙 고유의 색과 향을가진 이미,이취,이물이없는 유자과즙",PE,소비자 기호에 따라 음용,,"730일(24개월,2년)",아니오,아니오,
19730443003827 ,20171108,20171111,19730443003 ,꿀석류플러스,,(주)삼광식품,음료베이스,,식품제조가공업,제품 고유의 액상으로 고유의 향미를 지니며 이미이취가 없어야 한다.,유리포장 (뚜껑-철),"음료, 제과, 제빵, 떡",O,제조일로부터 24개월,해당없음,아니오,
19880607021185 ,20171107,20180301,19880607021 ,아로니아골드,해당없음.,(주)케이지앤에프,과.채주스,,식품제조가공업,적갈색의 액상,PP,"1일 1회, 1회 1포 또는 기호에 따라 수시로 흔들어 섭취",O,제조일로부터 24개월,해당없음,아니오,
19780614001415 ,20171010,20171013,19780614001 ,포도100,,롯데칠성음료(주),과.채주스,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,금속캔,제품 그대로 음용한다.,O,제조일로부터 12개월,예,아니오,
1996044304764 ,20170918,20230602,19960443047 ,야채사랑 비트포도,,(주)비락 진천공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 지닌 액상으로서 이미, 이취, 이물이 없어야 한다","내면 : PE, 외면 : 종이",기호음료 그대로 직접 음용,N,45일,해당없음,아니오,
19710570001607 ,20170906,20170909,19710570001 ,사각사각꿀배,,주식회사 네이처셀 칠곡공장,과.채음료,,식품제조가공업,"배과육을 함유하고 고유의 색택과 향미를 지니며,이미,이취,이물이 없을것.","캔류(철,알미늄)",제품 그대로 음용한다,N,12개월,해당없음,아니오,
19890445014764 ,20170906,20170909,19890445014 ,리얼깔라만시,,태웅식품(주),과.채주스,,식품제조가공업,깔라만시 특유의 향미를 지니고 이물이 없을것,"파우치(PP),폴리에틸렌 합성수지",기호에 알맞게 물에 희석하여 음용하시기 바랍니다.,O,24개월,해당없음,아니오,
1996044304763 ,20170828,20250909,19960443047 ,야채톡 과일톡,,(주)비락 진천공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 지닌 액상으로서 이미, 이취, 이물이 없어야 한다.",PE,기호음료 그대로 직접 음용,O,제조일로부터 45일 까지,아니오,아니오,
19880442004762 ,20170822,20170825,19880442004 ,유기농 슈퍼 아로니아,,풀무원건강생활(주),과.채주스,,식품제조가공업,"고유의 향미가 있는 짙은 갈색 액상으로 이미, 이취가 없어야 한다",내면 : PE,"1일 1회, 1회 1포씩 반드시 식후에 음용
위장 장애가 있는 경우  물에 희석하여 음용",O,12개월,해당없음,아니오,
19780614001414 ,20170803,20170807,19780614001 ,수박스파클링,,롯데칠성음료(주),탄산음료,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,"합성수지재(pet), 금속캔(can)",제품 그대로 음용한다,O,펫:9개월 캔:12개월,예,아니오,
19780614001413 ,20170802,20170806,19780614001 ,속까지부드러운꿀배,,롯데칠성음료(주),혼합음료,,식품제조가공업,"고유의 색택과 향미를 지니며 이미,이취가 없는 액상식품",금속캔,제품그대로 음용한다.,O,제조일로부터 9개월,예,아니오,
19890445014756 ,20170713,20170901,19890445014 ,고스란히 짜서 담은 깔라만시,,태웅식품(주),과.채주스,,식품제조가공업,깔라만시 특유의 향미를 지니고 이물이 없을것,"파우치(PP),폴리에틸렌 합성수지",기호에 맞게 물에 희석하여 음용하시기 바랍니다.,O,24개월,해당없음,아니오,
